23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x706, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x706, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
00:04 Inver     : . /tpa nick
12:26 CinCiang      : wojtek ty głupcze
12:26 BlockPlayer002: to ty
12:26 Pitts         : +1
12:27 Pitts         : macie luik?
12:27 CinCiang      : nie
12:28 BlockPlayer002: ./locate
12:30 Pitts         : help
12:32 CinCiang      : /tell Pitts masz goda xD 
12:33 Pitts         : xD
12:33 Pitts         : pawel ksiazki
12:33 Pitts         : come
12:36 CinCiang      : gg
12:36 Pitts         : gg
12:37 CinCiang      : rip set [*]
12:37 Pitts         : F
12:37 BlockPlayer002: No a więc muszę powiedzieć
12:37 BlockPlayer002: przepraszam
12:37 BlockPlayer002: ale to wina pawła XD
12:37 CinCiang      : to był 1 poziom
12:37 Pitts         : prosze nigdy wiecej sie tu do mnie nie tepac
12:37 Pitts         : XD
12:38 CinCiang      : jest 5 poziomow tego xD
12:54 Pitts         : pawel nie szpieguj nas
13:06 CinCiang      : także ten
13:06 CinCiang      : xD
13:06 Pitts         : oo cinciang sie magiczne pojawil hmmm
13:06 Pitts         : HMMMM
13:06 CinCiang      : zw
13:08 Pitts         : okej xD
13:08 Pitts         : czemu mnie to nie dziwi
13:23 CinCiang      : f
13:49 CinCiang      : afk
13:55 Pitts         : hejka
13:55 Monka2137     : siema
13:55 CinCiang      : czesc
14:02 Monka2137     : siema
14:02 Pitts         : elo
14:02 000Mika       : siema
14:03 Monka2137     : Artur sprzedajesz naprawe?
14:03 Pitts         : tak
14:03 Monka2137     : kupie
14:03 Pitts         : 8 diaxow za ksiazke
14:03 Monka2137     : git
14:03 Pitts         : ile potrzebujesz ksiazek?
14:03 Monka2137     : to 5 bym kupiła
14:03 Pitts         : 40 diaxow
14:04 Monka2137     : dziękuję <3
14:04 Pitts         : stonks
14:12 CinCiang      : ile ty masz tych kruf
14:13 Pitts         : wiem wiem malo ich ;<
14:20 CinCiang      : ez
14:25 000Mika       : zw
14:26 Inver         : Pitts sprzedasz zelazo?
14:26 Pitts         : a ile ci trzeba?
14:27 Inver         : potrzebuje 62 bloki
14:27 Pitts         : mam tylko 41
14:28 Inver         : za ile diaxow sprzedasz?
14:28 Pitts         : 1stack za 2 diaxy
14:28 Inver         : a mow w blokach zelaza per diamenty jezeli mozesz
14:29 Pitts         : a sorry moj blad xD
14:29 Pitts         : 82 diaxy
14:29 Inver         : za wszystko?
14:29 Pitts         : tak
14:29 Inver         : pojebalo
14:29 Inver         : nie mam tyle XD
14:29 Pitts         : xD
14:29 Pitts         : to idz kopac
14:29 Pitts         : ile masz?
14:31 Inver         : Moge kupic od cb 8 blokow zelaza @Pitts
14:31 Inver         : za ile diaxow?
14:32 Pitts         : 16
14:32 Inver         : 14?
14:32 Pitts         : moze byc
14:33 Inver         : thx
14:59 Inver         : . /invsee nick
15:03 Pitts         : serio pawel?
15:03 CinCiang      : xD
15:03 Inver         : co?
15:04 Pitts         : co sie mowi jak sie beka? xD
15:04 Inver         : jd
15:05 Pitts         : mardula jak ci sie podoba ten domek?
15:05 Pitts         : xD
15:05 CinCiang      : czad
15:06 Inver         : @Pitts masz ksiazki sharpness?
15:06 Pitts         : nie
15:06 Pitts         : chyba ze 1 xD
15:07 Inver         : w senise lvl I ?
15:07 Pitts         : tak
15:07 Inver         : a to nie xd
15:07 Inver         : /t 
15:28 Inver     : 0.5 * level + 0.5
15:28 Inver     : In Bedrock Edition, each level of Sharpness adds 1.25 extra damage.
15:40 Inver     : ts
15:40 CinCiang  : f
15:48 BlockPlayer002: dzień dobry
15:48 CinCiang      : czesc
15:54 zygfrydek02 placed suspicious WATER_BUCKET @ world: x861, z-458
16:00 CinCiang      : BlockPlayer002 dc?
16:13 BlockPlayer002: 55 METRO
16:15 BlockPlayer002 placed suspicious WATER_BUCKET @ world: x551, z181
16:18 BlockPlayer002: ma ktoś do sprzedania 1 slimeball?
16:24 CinCiang      : &6&lzrobcie dzialki na swoich domkach jesli brakuje wam blokow to piszcie, Działkę robi się złotą łopatą klikając PPM na dwóch przeciwległych blokach
16:28 BlockPlayer002 placed suspicious WATER_BUCKET @ world: x124, z805
16:41 Inver         : t
16:46 SzewM1da      : F
17:08 Inver         : t
17:08 Inver         : dc mi wyjeabloi
17:08 Inver         : F
17:08 Inver         : dziala wam?
17:08 CinCiang      : dziala
17:08 000Mika       : tak
17:08 Inver         : wiec wtf
17:10 zygfrydek02   : czm tu jest gigant
17:11 zygfrydek02   : xdddd
17:11 Inver         : a przyszedl sb
17:11 000Mika       : nie zabijaj stefana
17:11 Inver         : nie moze
17:11 Inver         : tak samo jak ja wbic na dc
17:11 Inver         : xd
17:11 CinCiang      : xD
17:12 zygfrydek02   : ma ktos trzcine cukrową do oddania
17:13 Inver         : slodki dmg
17:13 Inver         : zostawm nie
17:13 Inver         : mnie
17:13 Inver         : bo odruchowo wiesz co zrobie
17:13 000Mika       : XD
17:13 Inver         : czk
17:13 Inver         : nie bij mnie XD
17:14 Inver         : masz za swoje XD
17:14 Inver         : O chyba dc sie wlacza
17:19 zygfrydek02   : moge trzcine
17:20 000Mika       : mam 2 sztuki
17:20 zygfrydek02   : a zetniesz na górze
17:21 zygfrydek02   : dziękuje <3
17:21 000Mika       : luz
17:30 zygfrydek02   : f
17:38 zygfrydek02   : pa
17:38 CinCiang      : ca
18:42 Pokero_meno   : czesc
18:55 Pokero_meno   : /r nie 
